composite,scientific_name,ebird_code,common_name,alpha
Abroscopus albogularis_Rufous-faced Warbler,Abroscopus albogularis,rufwar1,Rufous-faced Warbler,
Abroscopus schisticeps_Black-faced Warbler,Abroscopus schisticeps,blfwar1,Black-faced Warbler,
Abroscopus superciliaris_Yellow-bellied Warbler,Abroscopus superciliaris,yebwar1,Yellow-bellied Warbler,
Aburria aburri_Wattled Guan,Aburria aburri,watgua1,Wattled Guan,
Acanthagenys rufogularis_Spiny-cheeked Honeyeater,Acanthagenys rufogularis,spchon1,Spiny-cheeked Honeyeater,
Acanthidops bairdi_Peg-billed Finch,Acanthidops bairdi,pebfin1,Peg-billed Finch,PBFI
Acanthis cabaret_Lesser Redpoll,Acanthis cabaret,,,
Acanthis flammea_Common Redpoll,Acanthis flammea,redpol1,Redpoll,REDP
Acanthis hornemanni_Hoary Redpoll,Acanthis hornemanni,,,
Acanthisitta chloris_Rifleman,Acanthisitta chloris,riflem1,Rifleman,
Acanthiza apicalis_Inland Thornbill,Acanthiza apicalis,inltho1,Inland Thornbill,
Acanthiza chrysorrhoa_Yellow-rumped Thornbill,Acanthiza chrysorrhoa,yertho1,Yellow-rumped Thornbill,
Acanthiza ewingii_Tasmanian Thornbill,Acanthiza ewingii,tastho1,Tasmanian Thornbill,
Acanthiza inornata_Western Thornbill,Acanthiza inornata,westho1,Western Thornbill,
Acanthiza lineata_Striated Thornbill,Acanthiza lineata,strtho1,Striated Thornbill,
Acanthiza nana_Yellow Thornbill,Acanthiza nana,yeltho1,Yellow Thornbill,
Acanthiza pusilla_Brown Thornbill,Acanthiza pusilla,brotho1,Brown Thornbill,
Acanthiza reguloides_Buff-rumped Thornbill,Acanthiza reguloides,burtho1,Buff-rumped Thornbill,
Acanthiza uropygialis_Chestnut-rumped Thornbill,Acanthiza uropygialis,chrtho1,Chestnut-rumped Thornbill,
Acanthorhynchus superciliosus_Western Spinebill,Acanthorhynchus superciliosus,wesspi1,Western Spinebill,
Acanthorhynchus tenuirostris_Eastern Spinebill,Acanthorhynchus tenuirostris,easspi1,Eastern Spinebill,
Accipiter badius_Shikra,Accipiter badius,,,
Accipiter bicolor_Bicolored Hawk,Accipiter bicolor,,,
Accipiter cirrocephalus_Collared Sparrowhawk,Accipiter cirrocephalus,,,
Accipiter cooperii_Cooper's Hawk,Accipiter cooperii,,,
Accipiter fasciatus_Brown Goshawk,Accipiter fasciatus,,,
Accipiter gentilis_Northern Goshawk,Accipiter gentilis,,,
Accipiter gularis_Japanese Sparrowhawk,Accipiter gularis,,,
Accipiter hiogaster_Variable Goshawk,Accipiter hiogaster,,,
Accipiter melanoleucus_Black Goshawk,Accipiter melanoleucus,,,
Accipiter minullus_Little Sparrowhawk,Accipiter minullus,,,
Accipiter nisus_Eurasian Sparrowhawk,Accipiter nisus,eurspa1,Eurasian Sparrowhawk,
Accipiter novaehollandiae_Gray Goshawk,Accipiter novaehollandiae,,,
Accipiter poliogaster_Gray-bellied Hawk,Accipiter poliogaster,gybhaw1,Grey-bellied Hawk,GBEH
Accipiter soloensis_Chinese Sparrowhawk,Accipiter soloensis,,,
Accipiter striatus_Sharp-shinned Hawk,Accipiter striatus,shshaw,Sharp-shinned Hawk,SSHA
Accipiter superciliosus_Tiny Hawk,Accipiter superciliosus,,,
Accipiter tachiro_African Goshawk,Accipiter tachiro,,,
Accipiter trinotatus_Spot-tailed Goshawk,Accipiter trinotatus,,,
Accipiter trivirgatus_Crested Goshawk,Accipiter trivirgatus,,,
Accipiter virgatus_Besra,Accipiter virgatus,,,
Aceros nipalensis_Rufous-necked Hornbill,Aceros nipalensis,runhor1,Rufous-necked Hornbill,
Achaetops pycnopygius_Rockrunner,Achaetops pycnopygius,damroc1,Rockrunner,
Acridotheres burmannicus_Vinous-breasted Starling,Acridotheres burmannicus,vibsta1,Burmese Myna,
Acridotheres cristatellus_Crested Myna,Acridotheres cristatellus,cremyn,Crested Myna,
Acridotheres fuscus_Jungle Myna,Acridotheres fuscus,junmyn1,Jungle Myna,
Acridotheres ginginianus_Bank Myna,Acridotheres ginginianus,banmyn1,Bank Myna,
Acridotheres grandis_Great Myna,Acridotheres grandis,whvmyn1,Great Myna,
Acridotheres javanicus_Javan Myna,Acridotheres javanicus,whvmyn,Javan Myna,
Acridotheres tristis_Common Myna,Acridotheres tristis,commyn,Common Myna,COMY
Acris crepitans_Northern Cricket Frog,Acris crepitans,,,
Acris gryllus_Southern Cricket Frog,Acris gryllus,,,
Acrobatornis fonsecai_Pink-legged Graveteiro,Acrobatornis fonsecai,pilgra1,Pink-legged Graveteiro,
Acrocephalus agricola_Paddyfield Warbler,Acrocephalus agricola,padwar1,Paddyfield Warbler,
Acrocephalus arundinaceus_Great Reed Warbler,Acrocephalus arundinaceus,grrwar1,Great Reed Warbler,
Acrocephalus australis_Australian Reed Warbler,Acrocephalus australis,aurwar1,Australian Reed Warbler,
Acrocephalus baeticatus_African Reed Warbler,Acrocephalus baeticatus,,,
Acrocephalus bistrigiceps_Black-browed Reed Warbler,Acrocephalus bistrigiceps,bbrwar1,Black-browed Reed Warbler,
Acrocephalus concinens_Blunt-winged Warbler,Acrocephalus concinens,blwwar1,Blunt-winged Warbler,
Acrocephalus dumetorum_Blyth's Reed Warbler,Acrocephalus dumetorum,blrwar1,Blyth's Reed Warbler,BREW
Acrocephalus gracilirostris_Lesser Swamp Warbler,Acrocephalus gracilirostris,leswar1,Lesser Swamp Warbler,
Acrocephalus griseldis_Basra Reed Warbler,Acrocephalus griseldis,barwar2,Basra Reed Warbler,
Acrocephalus melanopogon_Moustached Warbler,Acrocephalus melanopogon,mouwar1,Moustached Warbler,
Acrocephalus newtoni_Madagascar Swamp Warbler,Acrocephalus newtoni,maswar1,Madagascar Swamp Warbler,
Acrocephalus orientalis_Oriental Reed Warbler,Acrocephalus orientalis,orrwar1,Oriental Reed Warbler,
Acrocephalus paludicola_Aquatic Warbler,Acrocephalus paludicola,aquwar1,Aquatic Warbler,
Acrocephalus palustris_Marsh Warbler,Acrocephalus palustris,marwar3,Marsh Warbler,
Acrocephalus rufescens_Greater Swamp Warbler,Acrocephalus rufescens,grswar2,Greater Swamp Warbler,
Acrocephalus schoenobaenus_Sedge Warbler,Acrocephalus schoenobaenus,sedwar1,Sedge Warbler,SEWA
Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus scirpaceus,eurwar1,Common Reed Warbler,
Acrocephalus stentoreus_Clamorous Reed Warbler,Acrocephalus stentoreus,clrwar1,Clamorous Reed Warbler,
Acrocephalus tangorum_Manchurian Reed Warbler,Acrocephalus tangorum,manrew1,Manchurian Reed Warbler,
Acropternis orthonyx_Ocellated Tapaculo,Acropternis orthonyx,ocetap1,Ocellated Tapaculo,
Actenoides concretus_Rufous-collared Kingfisher,Actenoides concretus,ruckin1,Rufous-collared Kingfisher,
Actenoides lindsayi_Spotted Kingfisher,Actenoides lindsayi,spokin1,Spotted Wood Kingfisher,
Actenoides monachus_Green-backed Kingfisher,Actenoides monachus,grbkin1,Green-backed Kingfisher,
Actinodura cyanouroptera_Blue-winged Minla,Actinodura cyanouroptera,blwmin1,Blue-winged Minla,
Actinodura egertoni_Rusty-fronted Barwing,Actinodura egertoni,rufbar1,Rusty-fronted Barwing,
