ebird_code,scientific_name,common_name,alpha
ostric2,Struthio camelus,Common Ostrich,
grerhe1,Rhea americana,Greater Rhea,
lesrhe2,Rhea pennata,Lesser Rhea,
sobkiw1,Apteryx australis,Southern Brown Kiwi,
nibkiw1,Apteryx mantelli,North Island Brown Kiwi,
okbkiw1,Apteryx rowi,Okarito Kiwi,
liskiw1,Apteryx owenii,Little Spotted Kiwi,
grskiw1,Apteryx maxima,Great Spotted Kiwi,
soucas1,Casuarius casuarius,Southern Cassowary,
dwacas1,Casuarius bennetti,Dwarf Cassowary,
norcas1,Casuarius unappendiculatus,Northern Cassowary,
emu1,Dromaius novaehollandiae,Emu,
grytin1,Tinamus tao,Grey Tinamou,
soltin1,Tinamus solitarius,Solitary Tinamou,
blatin1,Tinamus osgoodi,Black Tinamou,
gretin1,Tinamus major,Great Tinamou,GRTI
whttin1,Tinamus guttatus,White-throated Tinamou,
higtin1,Nothocercus bonapartei,Highland Tinamou,HITI
tabtin1,Nothocercus julius,Tawny-breasted Tinamou,
hootin1,Nothocercus nigrocapillus,Hooded Tinamou,
bertin1,Crypturellus berlepschi,Berlepsch's Tinamou,
cintin1,Crypturellus cinereus,Cinereous Tinamou,
littin1,Crypturellus soui,Little Tinamou,LITI
teptin1,Crypturellus ptaritepui,Tepui Tinamou,
brotin1,Crypturellus obsoletus,Brown Tinamou,
undtin1,Crypturellus undulatus,Undulated Tinamou,
pabtin1,Crypturellus transfasciatus,Pale-browed Tinamou,
bratin1,Crypturellus strigulosus,Brazilian Tinamou,
gyltin1,Crypturellus duidae,Grey-legged Tinamou,
reltin1,Crypturellus erythropus,Red-legged Tinamou,
yeltin1,Crypturellus noctivagus,Yellow-legged Tinamou,
blctin1,Crypturellus atrocapillus,Black-capped Tinamou,
thitin1,Crypturellus cinnamomeus,Thicket Tinamou,THTI
slbtin1,Crypturellus boucardi,Slaty-breasted Tinamou,SBTI
chotin1,Crypturellus kerriae,Choco Tinamou,CHTI
vartin1,Crypturellus variegatus,Variegated Tinamou,
rustin1,Crypturellus brevirostris,Rusty Tinamou,
bartin2,Crypturellus bartletti,Bartlett's Tinamou,
smbtin1,Crypturellus parvirostris,Small-billed Tinamou,
bartin1,Crypturellus casiquiare,Barred Tinamou,
tattin1,Crypturellus tataupa,Tataupa Tinamou,
rewtin1,Rhynchotus rufescens,Red-winged Tinamou,
