common_name,scientific_name,ebird_code,alpha
American Bullfrog,,,
American Toad,,,
Boreal Chorus Frog,,,
Canine,,,
Canadian Toad,,,
Gray Treefrog,,,
Great Plains Toad,,,
Green Frog,,,
Northern Leopard Frog,,,
Mashup,,,
Noise,,,
Other,,,
Pickerel Frog,,,
Plains Spadefoot Toad,,,
Rooster,,,
Spring Peeper,,,
Squirrel,,,
Western Toad,,,
Wood Frog,,,
Acadian Flycatcher,Empidonax virescens,acafly,ACFL
Alder Flycatcher,Empidonax alnorum,aldfly,ALFL
American Avocet,Recurvirostra americana,ameavo,AMAV
American Bittern,Botaurus lentiginosus,amebit,AMBI
American Coot,Fulica americana,y00475,AMCO
American Crow,Corvus brachyrhynchos,amecro,AMCR
American Dipper,Cinclus mexicanus,amedip,AMDI
American Golden-Plover,Pluvialis dominica,amgplo,AMGP
American Goldfinch,Spinus tristis,amegfi,AGOL
American Kestrel,Falco sparverius,amekes,AMKE
American Pipit,Anthus rubescens,amepip,AMPI
American Redstart,Setophaga ruticilla,amered,AMRE
American Robin,Turdus migratorius,amerob,AMRO
American Three-toed Woodpecker,Picoides dorsalis,attwoo1,ATTW
American Tree Sparrow,Spizelloides arborea,amtspa,ATSP
American Wigeon,Mareca americana,amewig,AMWI
American Woodcock,Scolopax minor,amewoo,AMWO
Anna's Hummingbird,Calypte anna,annhum,ANHU
Arctic Tern,Sterna paradisaea,arcter,ARTE
Baird's Sparrow,Centronyx bairdii,baispa,BAIS
Baird's Sandpiper,Calidris bairdii,baisan,BASA
Bald Eagle,Haliaeetus leucocephalus,baleag,BAEA
Baltimore Oriole,Icterus galbula,balori,BAOR
Band-tailed Pigeon,Patagioenas fasciata,batpig1,BTPI
Bank Swallow,,,
Barn Owl,,,
Barn Swallow,Hirundo rustica,barswa,BARS
Barred Owl,Strix varia,brdowl,BAOW
Bay-breasted Warbler,Setophaga castanea,babwar,BBWA
Bell's Vireo,Vireo bellii,belvir,BEVI
Belted Kingfisher,Megaceryle alcyon,belkin1,BEKI
Bewick's Wren,Thryomanes bewickii,bewwre,BEWR
Black Oystercatcher,Haematopus bachmani,blkoys,BLOY
Black Rail,Laterallus jamaicensis,blkrai,BLRA
Black Tern,Chlidonias niger,blkter,BLTE
Black Turnstone,Arenaria melanocephala,blktur,BLTU
Black-and-white Warbler,Mniotilta varia,bawwar,BAWW
Black-backed Woodpecker,Picoides arcticus,bkbwoo,BBWO
Black-bellied Plover,,,
Black-billed Cuckoo,Coccyzus erythropthalmus,bkbcuc,BBCU
Black-billed Magpie,Pica hudsonia,bkbmag1,BBMA
Black-capped Chickadee,Poecile atricapillus,bkcchi,BCCH
Black-crowned Night Heron,Nycticorax nycticorax,bcnher,BCNH
