ebird_code,scientific_name,common_name,alpha
aakspa1,Passer hemileucus,Abd al-Kuri Sparrow,
abbbab1,Malacocincla abbotti,Abbott's Babbler,
abbboo2,Papasula abbotti,Abbott's Booby,
abbsta2,Poeoptera femoralis,,
abbwar1,Horornis flavolivaceus,Aberrant Bush Warbler,
abcwin1,Cryptospiza salvadorii,Abyssinian Crimsonwing,
abdsto1,Ciconia abdimii,Abdim's Stork,
abecis1,Cisticola aberdare,Aberdare Cisticola,
abethr1,Turdus tephronotus,Bare-eyed Thrush,
abetow,Melozone aberti,Abert's Towhee,ABTO
abgthr1,Geokichla piaggiae,Abyssinian Ground Thrush,
abhori1,Oriolus larvatus,Black-headed Oriole,
absbil1,Rhinopomastus minor,Abyssinian Scimitarbill,
absfin1,Geospizopsis plebejus,Ash-breasted Sierra Finch,
abttyr1,Anairetes alpinus,Ash-breasted Tit-Tyrant,
abycat1,Sylvia galinieri,Abyssinian Catbird,
abylon1,Macronyx flavicollis,Abyssinian Longclaw,
abynig1,Caprimulgus poliocephalus,Montane Nightjar,
abyrol2,Coracias abyssinicus,Abyssinian Roller,
abysis1,Serinus nigriceps,Ethiopian Siskin,
abyslf1,Melaenornis chocolatinus,Abyssinian Slaty Flycatcher,
abythr1,Turdus abyssinicus,Abyssinian Thrush,
abywhe1,Zosterops socotranus,Socotra White-eye,
abywoo1,Chloropicus abyssinicus,,
acafly,Empidonax virescens,Acadian Flycatcher,ACFL
acowoo,Melanerpes formicivorus,Acorn Woodpecker,ACWO
acrant1,Thamnophilus divisorius,Acre Antshrike,
acrtot1,Hemitriccus cohnhafti,Acre Tody-Tyrant,
adepen1,Pygoscelis adeliae,Adelie Penguin,ADPE
adewar1,Setophaga adelaidae,Adelaide's Warbler,ADWA
adtdov1,Streptopelia hypopyrrha,Adamawa Turtle Dove,
afbduc1,Anas sparsa,African Black Duck,
afbfly1,Elminia longicauda,African Blue Flycatcher,
afbowl1,Glaucidium capense,African Barred Owlet,
afbtit2,Cyanistes teneriffae,African Blue Tit,
afbwar1,Bradypterus baboecala,Little Rush Warbler,
afcdov1,Streptopelia roseogrisea,African Collared Dove,AFCD
afcfly1,Trochocercus cyanomelas,Blue-mantled Crested Flycatcher,
afdfly1,Muscicapa adusta,African Dusky Flycatcher,
afdwar1,Curruca deserti,African Desert Warbler,
afecuc1,Chrysococcyx cupreus,African Emerald Cuckoo,
afepig1,Columba unicincta,Afep Pigeon,
affeag1,Haliaeetus vocifer,,
afffin,Lagonosticta rubricata,African Firefinch,
afffly1,Fraseria ocreata,Fraser's Forest Flycatcher,
afgfly1,Bradornis microrhynchus,African Grey Flycatcher,
afghor1,Lophoceros nasutus,African Grey Hornbill,
afgori2,Oriolus auratus,African Golden Oriole,
afgowl1,Tyto capensis,African Grass Owl,
afgsno1,Montifringilla theresae,,
afgwea1,Ploceus subaureus,Eastern Golden Weaver,
afhbab1,Sylvia abyssinica,African Hill Babbler,
afhbab3,Sylvia atriceps,Rwenzori Hill Babbler,
afhhaw1,Polyboroides typus,African Harrier-Hawk,
